time,tcc_auto,tcc_empi
2026-04-07 06:53:49,0.0,0.0
2026-04-07 06:54:04,0.0,0.0
2026-04-07 06:54:19,0.0,0.0
2026-04-07 06:54:34,0.0,0.0
2026-04-07 06:54:49,0.0,0.0
2026-04-07 06:55:04,0.0,0.0
2026-04-07 06:55:19,0.0,0.0
2026-04-07 06:55:34,0.0,0.0
2026-04-07 06:55:49,0.0,0.0
2026-04-07 06:56:04,0.0,0.0
2026-04-07 06:56:19,0.0,0.0
2026-04-07 06:56:34,0.0,0.0
2026-04-07 06:56:49,0.0,0.0
2026-04-07 06:57:04,0.0,0.0
2026-04-07 06:57:19,0.0,0.0
2026-04-07 06:57:34,0.0,0.0
2026-04-07 06:57:49,0.0,0.0
2026-04-07 06:58:04,0.0,0.0
2026-04-07 06:58:19,0.0,0.0
2026-04-07 06:58:34,0.0,0.0
2026-04-07 06:58:49,0.0,0.0
2026-04-07 06:59:04,0.0,0.0
2026-04-07 06:59:19,0.0,0.0
2026-04-07 06:59:34,0.0,0.0
2026-04-07 06:59:49,0.0,0.0
2026-04-07 07:00:04,0.0,0.0
2026-04-07 07:00:19,0.0,0.0
2026-04-07 07:00:34,0.0,0.0
2026-04-07 07:00:49,0.0,0.0
2026-04-07 07:01:04,0.0,0.0
2026-04-07 07:01:19,0.0,0.0
2026-04-07 07:01:34,0.0,0.0
2026-04-07 07:01:49,0.0,0.0
2026-04-07 07:02:04,0.0,0.0
2026-04-07 07:02:19,0.0,0.0
2026-04-07 07:02:34,0.0,0.0
2026-04-07 07:02:49,0.0,0.0
2026-04-07 07:03:04,0.0,0.0
2026-04-07 07:03:19,0.0,0.0
2026-04-07 07:03:34,0.0,0.0
2026-04-07 07:03:49,0.0,0.0
2026-04-07 07:04:04,0.0,0.0
2026-04-07 07:04:19,0.0,0.0
2026-04-07 07:04:34,0.0,0.0
2026-04-07 07:04:49,0.0,0.0
2026-04-07 07:05:04,0.0,0.0
2026-04-07 07:05:19,0.0,0.0
2026-04-07 07:05:34,0.0,0.0
2026-04-07 07:05:49,0.0,0.0
